50.39,59.72,66.47,48.14,87.63,100.00,11.50,75.82,19.67,66.08
96.91,94.92,95.46,88.74,94.25,100.00,24.59,97.85,32.05,97.93
97.04,100.00,99.62,70.16,86.21,100.00,46.19,98.83,53.80,99.18
75.20,100.00,93.17,56.22,85.35,100.00,31.63,90.12,22.73,95.77
92.23,100.00,94.96,49.31,93.99,100.00,55.34,89.04,41.04,99.43
81.45,100.00,96.62,49.61,93.60,100.00,49.37,89.03,31.31,99.05
100.00,100.00,100.00,96.49,98.65,100.00,99.17,99.21,98.51,100.00
100.00,100.00,100.00,93.28,100.00,100.00,99.14,89.25,97.28,100.00
100.00,100.00,100.00,99.58,100.00,100.00,100.00,98.23,99.80,100.00
100.00,100.00,100.00,98.17,100.00,100.00,99.78,96.03,100.00,100.00
