100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98.20,5.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.70,0.00,99.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.40,0.00,30.40,76.70,0.00,0.00,0.00,0.00,0.00,0.00
15.20,0.00,11.60,0.10,95.60,0.00,0.00,0.00,0.00,0.00
39.70,0.00,5.90,0.00,0.10,89.50,0.00,0.00,0.00,0.00
1.60,0.00,3.00,0.00,0.00,6.00,97.00,0.00,0.00,0.00
5.70,0.00,0.40,0.00,0.00,0.00,0.40,99.00,0.00,0.00
13.40,0.00,0.10,0.00,0.00,1.80,0.00,47.30,35.50,0.00
32.30,0.00,6.30,0.00,0.00,2.10,0.00,3.70,0.00,79.80
