100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
88.40,100.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00
80.60,99.25,100.00,0.00,0.00,24.50,0.43,0.00,3.77,0.00
72.66,94.59,86.82,100.00,0.00,62.71,0.88,1.16,33.08,1.20
53.81,77.50,47.06,85.34,100.00,6.28,0.00,2.40,10.79,0.00
75.72,91.21,76.40,94.42,96.54,100.00,0.90,21.01,81.86,17.74
84.17,94.68,93.75,89.59,99.58,93.94,99.59,24.62,86.97,36.67
92.31,99.28,97.13,98.08,99.61,98.23,100.00,100.00,99.21,98.07
54.66,72.11,29.27,54.17,46.67,59.91,60.16,54.05,100.00,10.65
78.37,89.69,61.18,73.28,72.20,80.63,75.40,82.93,99.58,100.00
