96.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
77.78,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68.57,80.39,97.94,0.00,0.00,0.00,0.00,0.00,0.00,1.02
86.17,85.42,91.35,100.00,12.64,0.00,0.00,0.00,0.00,6.54
54.26,79.76,67.68,64.42,98.88,0.00,0.00,0.00,0.00,0.00
10.42,77.14,41.30,40.00,67.65,100.00,0.00,0.00,0.00,0.00
37.50,0.00,14.43,42.31,50.00,81.19,100.00,0.00,0.00,0.00
0.00,5.10,31.82,19.19,5.56,35.87,47.78,100.00,0.00,0.00
41.82,17.39,66.32,2.06,73.33,63.06,73.00,93.88,100.00,1.80
24.53,11.00,90.11,58.77,9.38,32.32,80.19,92.55,99.07,100.00
