100.00,100.00,95.99,98.90,31.30,84.55,54.74,99.80,84.85,99.50
97.32,100.00,95.60,100.00,56.47,96.60,78.05,100.00,93.44,100.00
100.00,100.00,99.31,100.00,46.09,100.00,89.31,100.00,90.69,99.80
100.00,100.00,100.00,100.00,92.51,99.89,92.93,100.00,98.75,100.00
100.00,100.00,100.00,100.00,86.50,99.77,62.97,100.00,97.00,100.00
99.90,100.00,99.80,100.00,87.96,94.10,70.77,100.00,99.48,100.00
100.00,100.00,99.61,100.00,95.77,99.32,85.89,100.00,99.90,100.00
100.00,100.00,99.71,100.00,93.09,96.84,75.89,100.00,99.48,100.00
100.00,100.00,100.00,100.00,92.51,97.40,81.38,100.00,99.79,100.00
100.00,100.00,100.00,100.00,100.00,99.89,95.45,100.00,100.00,100.00
