100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
98.89,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
100.00,100.00,100.00,0.00,1.94,0.00,1.98,0.00,14.29,0.00
93.90,95.12,96.30,100.00,2.08,17.05,5.95,6.19,30.63,2.75
90.57,92.59,96.04,100.00,100.00,21.05,26.44,0.00,34.83,29.21
85.71,86.79,70.54,98.10,100.00,100.00,23.46,0.00,30.61,64.29
58.82,20.49,60.82,48.21,88.66,66.67,100.00,0.00,3.16,1.00
79.57,45.63,58.82,71.13,89.17,68.48,100.00,100.00,59.18,16.28
59.80,79.46,57.69,53.19,82.29,46.74,100.00,100.00,100.00,20.21
53.68,15.32,10.62,7.69,45.63,19.75,91.49,65.74,92.71,100.00
